name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,employer,notable_works,field,spouse,children,parents,religion,genre
Gertrude Stein,{{birth date|1874|2|3}},"{{nowrap|[[Allegheny, Pennsylvania]], U.S.}}",{{death date and age|1946|7|27|1874|2|3}},"[[Neuilly-sur-Seine]], France",,{{flatlist| * Writer * poet * novelist * playwright * art collector }},,,,,,,,,,,,,
Grace Kelly,,,,,,,,,,,,,,,"{{marriage|[[Rainier III, Prince of Monaco]]|1956}}",,,,
Harvey Milk,{{birth date|1930|05|22}},"[[Woodmere, New York]], U.S.",{{nowrap|{{death date and age|1978|11|27|1930|05|22}}}},"San Francisco, California, U.S.",,,,,"[[Presidential Medal of Freedom]] (2009, posthumously)",,"[[State University of New York, Albany]] ([[Bachelor of Arts|BA]])",,,,,,,,
Heinrich Heine,{{Birth date|1797|12|13|df=y}},"[[Düsseldorf]], Duchy of Berg, Holy Roman Empire",{{Death date and age|1856|2|17|1797|12|13|df=y}},"Paris, [[Second French Empire]]",German,"Poet, essayist, journalist, literary critic",,,,"[[University of Bonn|Bonn]], [[Humboldt University of Berlin|Berlin]], [[University of Göttingen|Göttingen]] ([[Doctor of Law#Germany|PhD]])",,,,,{{Marriage|Mathilde Heine|1841}},,,,
Henrietta Lacks,{{birth date|1920|8|1}},"[[Roanoke, Virginia]], U.S.",{{death date and age|1951|10|4|1920|8|1}},"[[Baltimore]], Maryland, U.S.",,"{{hlist|[[Housewife]]|[[tobacco farmer]]<ref name=""vpbio"" />{{sfn|Skloot|2010|page=16}}}}",,,,,,,,,{{marriage|David Lacks|1941}},5 }},,,
Hermann Hesse,{{birth date|df=y|1877|7|2}},"[[Calw]], [[Kingdom of Württemberg]], German Empire",{{death date and age|df=y|1962|8|9|1877|7|2}},"[[Montagnola]], Ticino, Switzerland",,{{cslist|Novelist|short story author|essayist|poet|painter}},,,,,,,,,{{marriage|Maria Bernoulli|1904|1923}} {{marriage|Ruth Wenger|1924|1927}} {{marriage|[[Ninon Hesse]]|1931|1962}},,,,Fiction
Hermann Weyl,{{Birth date|1885|11|9|df=y}},"[[Elmshorn]], [[German Empire]]",{{Death date and age|1955|12|8|1885|11|9|df=y}},"[[Zürich]], [[Switzerland]]",,,,"[[List of topics named after Hermann Weyl]]<br />[[Ontic structural realism]]<ref>[http://plato.stanford.edu/entries/structural-realism/#Rel ""Structural Realism""]: entry by James Ladyman in the ''[[Stanford Encyclopedia of Philosophy]]''.</ref><br />[[Wormhole]]","[[Fellow of the Royal Society]]<ref name=""frs"">{{Cite journal | last1 = Newman | first1 = M. H. A. | author-link = Max Newman| doi = 10.1098/rsbm.1957.0021 | title = Hermann Weyl. 1885-1955 | journal = [[Biographical Memoirs of Fellows of the Royal Society]] | volume = 3 | pages = 305–328 | year = 1957 | doi-access = free }}</ref> <br/>[[Lobachevsky Prize]] (1927)<br/> [[Josiah Willard Gibbs Lectureship|Gibbs Lecture]] (1948)",[[University of Munich]]<br />[[University of Göttingen]],,,,,,[[Fritz Joachim Weyl]] (1915–1977)<br />Michael Weyl (1917–2011),,,
Ibn Battuta,24 February 1304,"[[Tangier]], [[Marinid sultanate]]",1369 (aged 64–65),"[[Marrakesh]], Marinid sultanate<ref>{{Cite web |first=Romy |last=Roynard |date=22 November 2018 |title=Sur les traces d'Ibn Battuta: le Maroc |url=https://www.nationalgeographic.fr/ibn-battuta/2018/11/sur-les-traces-dibn-battuta-le-maroc |access-date=7 December 2022 |website=National Geographic |language=fr |archive-date=7 December 2022 |archive-url=https://web.archive.org/web/20221207014923/https://www.nationalgeographic.fr/ibn-battuta/2018/11/sur-les-traces-dibn-battuta-le-maroc |url-status=live}}</ref>",,"Traveller, [[Geographer]], [[explorer]], [[scholar]], [[judge]]",,,,,,,[[Rihla]],,,,,,
Imhotep,,,,,,chancellor to the [[King]] [[Djoser]] and [[High Priest of Ra]],{{circa|[[27th century BC]]}},Being the architect of [[Pyramid of Djoser|Djoser's step pyramid]],,,,,,,,,,,
Ingrid Bergman,{{Birth date|df=yes|1915|8|29}},"[[Stockholm]], Sweden",{{Death date and age|df=yes|1982|8|29|1915|8|29}},"London, England",,Actress,,,,,,,,,{{Plainlist| * {{Marriage|[[Petter Lindström]]|1937|1950|end=div}} * {{Marriage|[[Roberto Rossellini]]|1950|1957|end=div}} * {{Marriage|[[Lars Schmidt (producer)|Lars Schmidt]]|1958|1975|end=div}} }},,,,
Isaac Asimov<!-- Please don't add a middle name without a good source. (Previously discussed at length at [[Talk:Isaac Asimov/Archive13#Unsourced middle name: a hoax?]].) -->,"{{circa|January 2, 1920|lk=no}}{{efn|name=""birthday""}}","[[Petrovichi]], Russian SFSR<!-- DO NOT LINK, see [[MOS:GEOLINK]] -->",{{Death date and age|1992|4|6|1920|1|2}},"New York City, U.S.",<!--Deprecated per MOS:INFONAT-->,"Writer, professor of [[biochemistry]]",1939–1992,,,,"[[Columbia University]] ([[Bachelor of Science|BS]], [[Master of Arts|MA]], [[Doctor of Philosophy|PhD]])",,,,{{ubl|{{marriage|Gertrude Blugerman|1942|1973|end=div}}|{{marriage|[[Janet Asimov|Janet Opal Jeppson]]|1973}}}},2,,,{{hlist|Science fiction {{hlist|[[hard SF]]|[[social SF]]}}|[[mystery fiction|mystery]]|[[popular science]]}}
Jackie Robinson,{{birth date|mf=yes|1919|1|31}},"[[Cairo, Georgia]], U.S.",{{death date and age|mf=yes|1972|10|24|1919|1|31}},"[[Stamford, Connecticut]], U.S.",,,,,,,,,,,,,,,
Jacques Cousteau,{{Birth date|1910|6|11|df=yes}},"[[Saint-André-de-Cubzac]], [[Gironde]], [[French Third Republic|France]]",{{Death date and age|1997|6|25|1910|6|11|df=yes}},"[[Paris]], France",,[[Oceanographer]],,,{{unbulleted list | {{Lang|fr|[[Palme d'Or]]|italic=no}} at [[Cannes Film Festival|Cannes]] | {{ unbulleted list|[[File:Legion Honneur Commandeur ribbon.svg|40px]] [[Legion of Honour]] – Commander (1972)}}}} }},,,,,,{{unbulleted list | {{marriage|[[Simone Melchior]]|1937|1990|end=died}} | {{marriage|[[Francine Cousteau|Francine Triplet]]<br>|1991}} }},{{unbulleted list|[[Jean-Michel Cousteau|Jean-Michel]]|[[Philippe Cousteau|Philippe-Pierre]]|Diane|Pierre-Yves}},,,
Jane Austen,{{Birth date|df=y|1775|12|16}},"[[Steventon, Hampshire]], England",{{Death date and age|df=y|1817|7|18|1775|12|16}},"[[Winchester]], Hampshire, England",,Novelist,1787–1817,,,[[Reading Abbey Girls' School]] (1785–1786),,,,,,,,,{{Hlist|[[Literary realism]]|[[Romance novel|Romantic fiction]]|[[Satire]]}}
Jawaharlal Nehru,{{birth date|df=yes|1889|11|14}},"[[Prayagraj|Allahabad]], [[North-Western Provinces]], India",{{death date and age|df=yes|1964|05|27|1889|11|14}},"New Delhi, India",,{{hlist|[[Lawyer]]|[[Politician]]}},,,[[#Awards and honours|See below]],,"{{ubl|[[Harrow School]]|[[Trinity College, Cambridge|Trinity College]]|[[Inner Temple]]}}",,,,{{marriage|[[Kamala Kaul]]|1916|1936|end=died}},[[Indira Gandhi]],{{ubl|[[Motilal Nehru]] (father)|[[Swarup Rani Nehru]] (mother)}},,
Josephine Baker,{{birth date|mf=yes|1906|06|03}},"[[St. Louis]], Missouri, U.S.",{{death date and age|mf=yes|1975|04|12|1906|06|03}},"Paris, France",,,,,,,,,,,,,,,
Julia Child,{{birth date|1912|08|15}},"[[Pasadena, California]], U.S.",{{death date and age|2004|08|13|1912|08|15}},"[[Montecito, California]], U.S.",,,1935–2004,,"{{Unbulleted list|Daytime Emmy Award for Outstanding Service Show Host|1996 ''In Julia's Kitchen with Master Chefs''|2001 ''Julia & Jacques Cooking at Home''|Emmy Award for Achievements in Educational Television—Individuals|1966 ''[[The French Chef]]''|[[Peabody Awards|Peabody Award]]|1965 ''[[The French Chef]]''|National Book Award, Current Interest|1980 ''Julia Child and More Company'' | U.S. [[Presidential Medal of Freedom]] }}",,{{Unbulleted list|[[Smith College]] ([[Bachelor of Arts|BA]])|[[Le Cordon Bleu]] ({{lang|fr|Diplôme de Cuisine}})}},,,,{{marriage|[[Paul Cushing Child]]|1946|1994|end=d.}},,,,
Karl Marx,{{Birth date|df=y|1818|5|5}},"[[Trier]], Prussia",{{Death date and age|df=y|1883|3|14|1818|5|5}},"[[London]], England",,,,,,,,,,,,,,,
Kobe Bryant,{{birth date|1978|8|23}},"[[Philadelphia]], Pennsylvania, U.S.",{{death date and age|2020|1|26|1978|8|23}},"[[Calabasas, California]], U.S.",,,,,,,,,,,,,,,
Langston Hughes,{{birth date|1901|2|1|mf=y}},"[[Joplin, Missouri]], U.S.",{{death date and age|1967|5|22|1901|2|1}},"[[New York City]], U.S.",,{{hlist|Poet|columnist|dramatist|essayist|novelist}},,,,,{{ubl|[[Columbia University]]|[[Lincoln University (Pennsylvania)|Lincoln University]] ([[Bachelor of Arts|BA]])}},,,,,,,,
Leo Tolstoy,{{birth date|1828|09|09|df=y}},"[[Yasnaya Polyana]], Russia",{{Death date and age|1910|11|20|1828|09|09|df=y}},"[[Lev Tolstoy (rural locality)|Astapovo]], Russia",,{{cslist|Writer|religious thinker}},1847–1910,,[[Griboyedov Prize]] (1892),,[[Kazan Federal University|Imperial Kazan University]] (dropped out),,,,{{marriage|[[Sophia Tolstaya|Sophia Behrs]]|23 September 1862}},14,,,
Linus Pauling,{{birth date|1901|2|28}},"[[Portland, Oregon]], U.S.",{{nowrap|{{death date and age|1994|8|19|1901|2|28}}}},"[[Big Sur]], California, U.S.",<!-- use only when necessary per [[WP:INFONAT]] -->,,,,,,{{ubl|[[Oregon State University]] ([[Bachelor of Science|BS]])|[[California Institute of Technology]] ([[PhD]])}},,,{{ubl|[[Quantum chemistry]]|[[Biochemistry]]}},{{marriage|[[Ava Helen Pauling|Ava Helen Miller]]|1923-06-17|1981-12-07|end=d.}},4,,,
Max Born,{{Birth date|1882|12|11|df=yes}},"[[Breslau]], [[Kingdom of Prussia]], [[German Empire]]",{{Death date and age|1970|01|05|1882|12|11|df=yes}},"[[Göttingen]], [[Lower Saxony]], [[West Germany]]",,,,,,,,,,,,,,,
Michel de Montaigne,,,,,,,,,,,,,,,,,,,
<!-- defaults to article title when left blank -->,{{birth date|1942|1|17}},"[[Louisville, Kentucky]], U.S.",{{death date and age|2016|6|3|1942|1|17}},"[[Scottsdale, Arizona]], U.S.",,,,,,,,,,,,,,,
Naguib Mahfouz,{{birth date|df=yes|1911|12|11}},"[[Cairo]], [[Khedivate of Egypt]]",{{death date and age|df=yes|2006|8|30|1911|12|11}},"[[Agouza]], [[Giza Governorate]], [[Egypt]]",[[Egyptians|Egyptian]],"[[Novelist]], [[screenwriter]], and [[playwright]]",,,[[File:EGY Order of the Nile - Grand Cordon BAR.png|30px]] [[Order of the Nile]]<br />[[File:Nobel Prize.png|20px]] [[Nobel Prize for Literature]],,,,,,{{marriage|Atiyatullah Ibrahim|1954}},2,,,"[[Novel]], [[short story]]"
Niccolò Machiavelli,{{birth date|1469|5|3|df=y}},"[[Florence]], [[Republic of Florence]]",{{death date and age|1527|6|21|1469|5|3|df=y}},"Florence, Republic of Florence",,,,,,,,,{{ubl|''[[The Prince]]''|''[[Discourses on Livy]]''}},,{{marriage|Marietta [[Corsini family|Corsini]]|1501}},7,,,
Oscar Wilde,,,,,,,,,,,,,,,,,,,
Percy Bysshe Shelley,{{birth date|1792|8|4|df=y}},"[[Field Place, Warnham|Field Place]], Sussex",{{death date and age|1822|7|8|1792|8|4|df=y}},"[[Gulf of La Spezia]], Kingdom of Sardinia",,Author,,,,"[[University College, Oxford]]",,,,,{{unbulleted list|{{marriage|Harriet Westbrook|1811|1816|end= d.}}|{{marriage|[[Mary Shelley]]|1816}}}},"6, including [[Sir Percy Shelley, 3rd Baronet|Sir Percy, 3rd Baronet]]",,,
Rabindranath Tagore,[[Rabindra Jayanti|{{Birth date|df=yes|1861|05|07}}]],"[[Jorasanko Thakur Bari]], Bengal Presidency,<!-- DO NOT LINK PER MOS:GEOLINK --> British India<!-- DO NOT LINK PER MOS:GEOLINK -->",{{Death date and age|df=yes|1941|08|07|1861|05|07}},"Jorasanko Thakur Bari, Bengal Presidency,<!-- DO NOT LINK PER MOS:GEOLINK --> British India<!-- DO NOT LINK PER MOS:GEOLINK -->",,{{hlist|Poet|novelist|playwright|essayist|composer|painter|philosopher|social reformer|educationist|linguist|grammarian}},,,"{{awards|[[Nobel Prize in Literature]]|(1913)}}<!-- do not add image icons such as nobel peace, see [[:Template:Infobox writer]] -->",,,,{{hlist|''[[Gitanjali]]'' | ''[[The Home and the World|Ghare-Baire]]''|''[[Bharoto Bhagyo Bidhata]]''| ''[[Gora (novel)|Gora]]'' |''[[Jana Gana Mana]]'' |''[[Rabindra Sangeet]]'' |''[[Amar Shonar Bangla]]'' | ([[Works of Rabindranath Tagore|other works]])}},,{{marriage|[[Mrinalini Devi]]|1883|1902|end=died}},[[Rathindranath Tagore]] +4 others,,,
Rosa Luxemburg,{{birth date|1871|3|5|df=y}},"[[Zamość]], Congress Poland, Russian Empire",{{death date and age|1919|1|15|1871|3|5|df=y}},"[[Berlin]], Germany",,{{flatlist| * Economist * [[revolutionary]] }},,,,,"[[University of Zurich]] {{avoid wrap|(Dr. jur., 1897)}}",,,,,,,,
Srinivasa Ramanujan,{{Birth date|df=yes|1887|12|22}},"[[Erode]], [[Madras Presidency]], [[British Raj|British India]] (now in [[Tamil Nadu]], India)",{{Death date and age|df=yes|1920|4|26|1887|12|22}},"[[Kumbakonam]], [[Tanjore District (Madras Presidency)|Tanjore District]], [[Madras Presidency]], [[British Raj|British India]] (now [[Thanjavur district]],<br />[[Tamil Nadu]], India)",,,,{{plainlist| * [[Ramanujan's sum]] * [[Landau–Ramanujan constant]] * [[Mock theta function]]s * [[Ramanujan's congruences]] * [[Ramanujan conjecture]] * [[Ramanujan prime]] * [[Ramanujan–Soldner constant]] * [[Ramanujan theta function]] * [[Rogers–Ramanujan identities]] * [[Ramanujan's master theorem]] * [[Partition function (number theory)#Approximation formulas|Hardy–Ramanujan asymptotic formula]] * [[Ramanujan–Sato series]]}},[[Fellow of the Royal Society]] (1918),,"{{plainlist| * [[Government Arts College, Kumbakonam|Government Arts College]] * [[Pachaiyappa's College]] * {{nowrap|[[Trinity College, Cambridge]] {{nowrap|([[Bachelor of Arts|BA]])}}}}}}",,,[[Mathematics]],,,,,
Simón Bolívar,{{birth date|1783|7|24|df=y}},"[[Caracas]], Venezuela",{{death date and age|1830|12|17|1783|7|24|df=y}},"[[Santa Marta]], [[Gran Colombia]]",{{ubl|[[Spanish Empire|Spanish]] (until 1810)|Venezuelan (1813–1819)|Colombian (from 1819)}},,,,,,,,,,{{marriage|[[María Teresa Rodríguez del Toro y Alaysa]]|1802|1803|reason=died}},,,,
Sojourner Truth,{{Circa|1797}},"[[Swartekill, New York]], U.S.",{{Death date and given age|1883|11|26|86|mf=y}},"[[Battle Creek, Michigan]], U.S.",,"[[Abolitionism in the United States|Abolitionist]], [[human rights activists|human rights activist]]",,,,,,,,,,,,,
