name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,employer,notable_works,field,spouse,children,parents,religion,genre
Michelle Bachelet,{{birth date and age|df=y|1951|9|29}},"[[Santiago]], Chile",,,,,,,,,[[University of Chile]] ([[Medical Doctorate|MD]]),,,,{{marriage|Jorge Dávalos Cartes|1978|1984|end=separation}},3,,,
Ellen Ochoa,{{birth date and age|1958|5|10}},"[[Los Angeles]], California, U.S.",,,,,,,,,"[[San Diego State University]] ([[Bachelor of Science|BS]])<br />[[Stanford University]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,,,,,
Valentina Tereshkova,{{Birth date and age|1937|3|6|df=y}},"[[Bolshoye Maslennikovo]], Yaroslavl Oblast, Soviet&nbsp;Union",,,,{{hlist|Pilot|[[cosmonaut]]|politician}},,,,,,,,,{{plainlist| * {{marriage|[[Andriyan Nikolayev]]|3 November 1963|1982|end=divorced}} * {{marriage|Yuli Shaposhnikov|1982|1999|end=died}} }},,,,
Mae Jemison,{{birth date and age|1956|10|17}},"[[Decatur, Alabama]], U.S.",,,,,,,,,"[[Stanford University]] ([[Bachelor of Arts|BA]], [[Bachelor of Science|BS]])<br/>[[Cornell University]] ([[Doctor of Medicine|MD]])",,,,,,,,
Kalpana Chawla,{{birth date|1962|3|17}},"[[Karnal]], [[Haryana]], India",{{death date and age|2003|2|1|1962|3|17}},"Over [[Texas]], U.S",,,,,{{ubl|[[Congressional Space Medal of Honor]]|[[NASA Distinguished Service Medal]]|[[NASA Space Flight Medal]]}},,"[[Punjab Engineering College]] ([[Bachelor of Engineering|BEng]])<br/>[[University of Texas, Arlington]] ([[Master of Science|MS]])<br/>[[University of Colorado, Boulder]] ([[Doctor of Philosophy|PhD]])",,,,,,,,
Suni Williams,{{birth date and age|1965|9|19}},"[[Euclid, Ohio]], U.S.",,,,,,,,,[[United States Naval Academy]] ([[Bachelor of Science|BS]])<br />[[Florida Institute of Technology]] ([[Master of Science|MS]]),,,,Michael J. Williams,,,,
Jessica Meir,{{birth date and age|1977|7|1}},"[[Caribou, Maine]], U.S.",,,,,,,,,"{{ublist|[[Brown University]] ([[Bachelor of Science|BS]])|[[International Space University]] ([[Master of Science|MS]])|[[University of California, San Diego]] ([[Doctor of Philosophy|PhD]])}}",,,,,,,,
Christa McAuliffe,{{birth date|1948|9|2}},"[[Boston]], [[Massachusetts]], U.S.",{{death date and age|1986|1|28|1948|9|2}},North Atlantic Ocean,,,,,[[Congressional Space Medal of Honor]],,{{unbulleted list|[[Framingham State University]] ([[Bachelor of Science|BS]])|[[Bowie State University]] ([[Master of Arts|MA]])}},,,,{{marriage|[[Steven J. McAuliffe]]|1970}},2,,,
Nichelle Nichols,{{Birth date|mf=yes|1932|12|28}},"[[Robbins, Illinois]], U.S.",{{Death date and age|mf=yes|2022|07|30|1932|12|28}},"[[Silver City, New Mexico]], U.S.",,{{Hlist|Actress|singer|dancer}},1959–2019,,,,[[Englewood Technical Prep Academy|Englewood High School]],,,,{{Ubl,,,,
Jocelyn Bell Burnell,{{Birth date and age|1943|7|15|df=yes}}{{sfn|Who's Who|2017}},"[[Lurgan]], [[County Armagh]], Northern Ireland{{sfn|''Lurgan Mail''|2007}}{{sfn|Bain|2022}}",,,,,,,,,"{{Plain list| * [[Lurgan College]] * [[The Mount School, York]] }}",,,,,,,,
Barbara McClintock,{{birth date|1902|6|16}},"[[Hartford, Connecticut]], United States",{{death date and age|1992|9|2|1902|6|16}},"[[Huntington, New York]], United States",,,,,,,,,,[[Cytogenetics]] (genetics scientist),,,,,
Rita Levi-Montalcini,{{birth date|1909|4|22|df=y}},"[[Turin]], [[Kingdom of Italy]]",{{death date and age|2012|12|30|1909|4|22|df=y}},"[[Rome]], Italy",[[Italian people|Italian]],,,[[Nerve growth factor]],{{Plainlist| * [[EMBO Membership]] (1974)<ref name=membo>{{cite web|url=http://people.embo.org/profile/rita-levi-montalcini|author=Anon|year=2012|title=Rita Levi-Montalcini EMBO profile|website=people.embo.org|publisher=[[European Molecular Biology Organization]]|location=Heidelberg}}</ref> * [[Louisa Gross Horwitz Prize]] (1983) * [[Albert Lasker Award for Basic Medical Research|Lasker Award]] (1986) * [[Nobel Prize in Physiology or Medicine|Nobel Prize]] (1986) * [[National Medal of Science]] (1987) * [[Fellow of the Royal Society|ForMemRS]] (1995)<ref name=formemrs/> * [[Honorary degree]] in [[Biotechnology]] at [[Bocconi University]] (2008) * ''Others (see [[#Awards and honours|below]])''}},[[University of Turin]],,,,[[Neurobiology]],,,,,
Ada E. Yonath,{{birth date and age|1939|6|22|df=yes}},"[[Jerusalem]],<br/>[[Mandatory Palestine]]",,,,,,Cryo bio-crystallography,,,{{ubl|[[Hebrew University of Jerusalem]]|[[Weizmann Institute of Science]]}},,,Crystallography,,,,,
Shinya Yamanaka,{{Birth date and age|1962|09|04|mf=y}},"[[Higashiōsaka, Osaka]], Japan",,,Japanese,,,[[Induced pluripotent stem cell]],"[[Meyenburg Prize]] (2007)<br />[[Massry Prize]] (2008)<br />[[Robert Koch Prize]] (2008)<br />[[Shaw Prize]] (2008)<br />[[Gairdner Foundation International Award]] (2009)<br />[[Albert Lasker Award for Basic Medical Research|Albert Lasker Basic Medical Research Award]] (2009) <br /> [[Balzan Prize]] (2010) <br /> [[Kyoto Prize]] (2010) <br /> [[BBVA Foundation Frontiers of Knowledge Award]] (2010)<br />[[Wolf Prize]] (2011)<br />[http://www.isscr.org/McEwen_Award_for_Innovation/5323.htm McEwen Award for Innovation] (2011)<br />Fellow of the [[National Academy of Sciences]]<ref name=""nas"">{{Cite journal | last1 = Nair | first1 = P. | doi = 10.1073/pnas.1121498109 | title = Profile of Shinya Yamanaka| journal = [[Proceedings of the National Academy of Sciences]] | year = 2012 | pmid = 22619323 | pmc =3386100 | bibcode = 2012PNAS..109.9223N | volume=109 | issue=24 | pages=9223–9225| doi-access = free }}</ref> (2012)<br />[[Millennium Technology Prize]] (2012)<br />[[Nobel Prize in Physiology or Medicine]] (2012)",[[Kobe University]] ([[Doctor of Medicine|MD]])<br />[[Osaka City University]] ([[PhD]]),,,,,,,,,
John Venter,{{birth date and age|1946|10|14|mf=y}},"[[Salt Lake City]], Utah, U.S.",,,,[[Biologist]],,,[[Gairdner Foundation International Award|Gairdner Award]] (2002)<br />[[Nierenberg Prize]] (2007)<br />[[Kistler Prize]] (2008)<br />[[ENI award]] (2008)<br />[[National Medal of Science|Medal of Science]] (2008)<br />[[Dickson Prize]] (2011)<br />[[Leeuwenhoek Medal]]<br />[[Edogawa NICHE Prize]] (2020),"[[University of California, San Diego]]",,,,,,,,,
Katalin Karikó,{{birth date and age|1955|1|17|df=y}},"[[Szolnok]], [[Hungarian People's Republic|Hungary]]",,,,,,[[mRNA]] technology in [[immunology]] and therapies,[[Nobel Prize in Physiology or Medicine]] (2023) and [[List of awards and honors received by Katalin Karikó|several others]],,"[[University of Szeged]] ([[BSc]], [[PhD]])",,,,Béla Francia,[[Susan Francia]],,,
Sarah Gilbert,{{Birth year and age|1962|04}},"[[Kettering |Kettering, Northamptonshire]], England",,,,,,[[Vaccinology]],[[Albert Medal (Royal Society of Arts)|Albert Medal]] (2021)<br />[[Princess of Asturias Awards|Princess of Asturias Award]] (2021)<br />[[King Faisal Prize]] (2023),[[University of East Anglia]] (BSc)<br/> [[University of Hull ]] (PhD),,,,,,3,,,
Özlem Türeci,{{Birth date and age|df=yes|1967|3|6}},"[[Siegen]], [[West Germany]]",,,,"Physician, scientist, entrepreneur",1992–present,{{unbulleted list|[[BioNTech]]|[[BNT162b2]] [[vaccine]]}},{{unbulleted list|Princess of Asturias Awards|Georges Köhler Prize|Werner von Siemens Ring|Paul Ehrlich and Ludwig Darmstaedter Prize|Prix Jeantet-Collen for Translational Medicine (2022)|}},{{unbulleted list||[[Saarland University]]}},,,,,{{marriage|[[Uğur Şahin]]|2002}},1,,,
Uğur Şahin,{{Birth date and age|1965|9|19|df=y}},"[[İskenderun]], [[Hatay Province]], Turkey",,,,"Oncologist, immunologist",1991–present,{{unbulleted list|[[BioNTech]]|[[RNA vaccine]]s|[[BNT162b2]] [[vaccine]]|Personalized cancer immunotherapy}},{{unbulleted list|Merit Award of the American Society of Clinical Oncology|Werner von Siemens Ring|German Cancer Award|[[Order of Merit of the Federal Republic of Germany]]|[[Mustafa Prize]] (2019)|Prix Jeantet-Collen for Translational Medicine (2022)|}},"{{unbulleted list|[[University of Cologne]], [[PhD]] in [[Medicine|Human Medicine]]}}",,,,,{{marriage|[[Özlem Türeci]]|2002}},1,,,
Fei-Fei Li,{{birth date and age|1976|7|3}},"[[Beijing]], [[China]]",,,,,,{{Plainlist| * [[Computer vision]] * [[Machine learning]] * [[Artificial intelligence]] * [[AI in healthcare]] * [[Cognitive neuroscience]] * [[ImageNet]]}},{{Plainlist| <!-- only include awards notable enough to have dedicated pages--> * Elected to [[National Academy of Engineering]] (2020) * [[National Academy of Medicine]] (2020) * [[American Academy of Arts and Sciences]] (2021) * [[ACM Fellow]] (2018) * [[VinFuture Prize]] (2024) * [[Queen Elizabeth Prize for Engineering]] (2025)}},,"{{ubl |[[Princeton University]] ([[Bachelor of Arts|BA]]) |[[California Institute of Technology]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])}}",,,,[[Silvio Savarese]],2,,,
Yoshua Bengio,{{birth date and age|1964|3|5}},"[[Paris]], France",,,,,,{{Plainlist| * [[Deep learning]] * [[Neural machine translation]] * [[Generative adversarial networks]] * [[Attention (machine learning)|Attention models]] * [[Word embedding]]s * [[Denoising autoencoder]]s * [[Language model]]s * [[Learning to learn]] * [[Flow-based generative model|Generative flow networks]]}},[[Prix Marie-Victorin|Marie-Victorin Prize]] (2017)<br>[[Turing Award]] (2018)<br/>[[AAAI Fellow]] (2019)<br />[[Legion of Honor]] (2022)<br />[[VinFuture Prize]] (2024) <br />[[Honorary Doctorate]] (2025),,"[[McGill University]] ([[Bachelor of Science|BS]], [[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,,,,,
Yann LeCun,{{birth date and age|1960|07|08|df=y}},"[[Soisy-sous-Montmorency]], France<!-- DO NOT LINK, see [[MOS:GEOLINK]] for further guidance -->",,,,,,,,,,,,,,,,,
Andrew Ng,,,,,,,,,,,"[[Carnegie Mellon University]] ([[Bachelor of Science|BS]])<br>[[Massachusetts Institute of Technology]] ([[Master of Science|MS]])<br>[[University of California, Berkeley]] ([[Doctor of Philosophy|PhD]])",,,"[[Computer science]], artificial intelligence, [[machine learning]], [[natural language processing]], [[computer vision]]",,,,,
Tim Berners-Lee,{{birth date and age|1955|6|8|df=y}},"London, England",,,,,,Invention of the [[World Wide Web]],{{ubil|[[Turing Award]] (2016)|[[Queen Elizabeth Prize]] (2013)|[[Foreign Associate of the National Academy of Sciences]] (2009)|[[Order of Merit]] (2007)|[[ACM Software System Award]] (1995)}},,"[[Queen's College, Oxford]] ([[Bachelor of Arts|BA]])",,,Computer science,{{plainlist| * {{marriage|Nancy Carlson|1990|2011|end=div}} * {{marriage|[[Rosemary Leith]]|2014}}}},2 children<br>3 step-children,,,
Vinton Cerf,{{birth date and age|1943|06|23}},"[[New Haven, Connecticut]], U.S.",,,,,,[[TCP/IP]]<br>[[Internet Society]],,,"[[Stanford University]] ([[Bachelor of Science|BS]])<br>[[University of California, Los Angeles]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,[[Telecommunications]],,,,,
Linus Torvalds,{{Birth date and age|df=yes|1969|12|28}},"[[Helsinki]], Finland",,,{{flatlist| * Finnish * American<ref>{{cite web |last1=Corbet |first1=Jonathan |url=https://lwn.net/Articles/404729/ |title=Citizen Linus |date=13 September 2010 |access-date=2024-12-10 |archive-date=25 June 2018 |archive-url=https://web.archive.org/web/20180625065302/https://lwn.net/Articles/404729/ |url-status=live }}</ref> }},,,,,[[University of Helsinki]] (M.S.)<ref>{{cite web|url=https://www.computerhistory.org/fellowawards/hall/linus-torvalds/ |archive-url=https://web.archive.org/web/20100709010531/http://www.computerhistory.org/fellowawards/hall/bios/Linus%2CTorvalds/ |url-status=live |archive-date=9 July 2010 |title=Linus Torvalds 2008 Fellow }}</ref>,,,,,,,,,
Dennis Ritchie,{{birth date|1941|09|09}},"[[Bronxville, New York]], U.S.",{{circa}} {{death date and age|2011|10|12|1941|9|9}},"[[Berkeley Heights, New Jersey]], U.S.",,,,[[ALTRAN]]<br/>[[B (programming language)|B]]<br/>[[BCPL]]<br/>[[C (programming language)|C]]<br/>[[Multics]]<br/>[[Unix]],,,[[Harvard University]] ([[Bachelor of Science|BS]]),,,[[Computer science]],,,,,
Ken Thompson,{{birth date and age|1943|02|04|mf=yes}},"[[New Orleans]], [[Louisiana]], U.S.",,,,,,{{plainlist| *[[Multics]] *[[Unix]] *[[B (programming language)]] *[[C (programming language)]] *[[Belle (chess machine)]] *[[UTF-8]] *[[Plan 9 from Bell Labs]] *[[Inferno (operating system)]] *[[grep]] *[[Endgame tablebase]] *[[Go (programming language)|Go]]}},,,"[[University of California, Berkeley]] ([[Bachelor of Science|BS]], [[Master of Science|MS]])",,,[[Computer science]],,,,,
Bjarne Stroustrup,{{birth date and age|1950|12|30|df=y}},"[[Aarhus]], [[Denmark]]",,,[[Denmark|Danish]],,,[[C++]],,{{ indented plainlist | *[[Aarhus University]] ([[Cand.scient.]]) *[[University of Cambridge]] ([[Doctor of Philosophy|PhD]]) }},,,,,{{marriage|Marian Tinson|1975}},2,,,
James Gosling,{{Birth date and age|1955|05|19}},"[[Calgary]], [[Alberta]], Canada",,,,,,,,,,,,,,,,,
Guido van Rossum,"{{Birth date and age|1956|1|31|df=y}}<ref>{{cite web|url=http://mail.python.org/pipermail/python-dev/2007-January/070849.html|title=(Python-Dev) Happy Birthday, Guido!|last=van Rossum|first=Guido|publisher=Python-Dev mailing list|date=31 January 2007|url-status=live|archive-url=https://web.archive.org/web/20090908131440/http://mail.python.org/pipermail/python-dev/2007-January/070849.html|archive-date=8 September 2009}}</ref>","[[The Hague]], Netherlands<ref>{{Cite web|url=http://www.computerhistory.org/atchm/2018-chm-fellow-guido-van-rossum-python-creator-benevolent-dictator-for-life/ |archive-url=https://web.archive.org/web/20180724114116/http://www.computerhistory.org/atchm/2018-chm-fellow-guido-van-rossum-python-creator-benevolent-dictator-for-life/|title=2018 Museum Fellow Guido van Rossum, Python Creator & Benevolent Dictator for Life|website=Computer History Museum|date=5 April 2018|first=Hansen|last=Hsu|archive-date=24 July 2018|access-date=19 May 2021|url-status=live}}</ref>",,,,"Computer programmer, author",,Creating the [[Python (programming language)|Python programming language]],[[Award for the Advancement of Free Software]] (2001),[[University of Amsterdam]] ([[Bachelor of Science|BS]]),,[[Microsoft]],,,{{marriage|Kim Knapp|2000}},1<ref>{{cite web|url=http://wiki.codecall.net/Guido_van_Rossum |title=Guido van Rossum |publisher=CodeCall Programming Wiki |archive-url=https://web.archive.org/web/20081031103755/http://wiki.codecall.net/Guido_van_Rossum |archive-date=31 October 2008}}</ref>,,,
Brendan Eich,{{birth date and age|1961|7|4}},"[[Pittsburgh]], [[Pennsylvania]], US",,,,,,"Creation of [[JavaScript]] and co-founder of [[Mozilla]] project, [[Mozilla Foundation]], and [[Mozilla Corporation]]",,{{ubl,,,,,,,,,
Radia Perlman,{{Birth date and age|1951,"[[Portsmouth, Virginia]], US",,,,,,Network and security protocols; computer books,[[Internet Hall of Fame]]<br>[[National Inventors Hall of Fame]] }},[[MIT]],,,,[[Computer Science]],,,,,
Katherine Johnson,{{Birth date|1918|08|26}},"[[White Sulphur Springs, West&nbsp;Virginia]], U.S.",{{Death date and age|2020|02|24|1918|08|26}},"[[Newport News, Virginia]], U.S.",,"[[Human computer]], computer programmer, mathematics teacher",,Calculating trajectories for NASA missions,{{unbulleted list|[[Presidential Medal of Freedom]] (2015)|[[Silver Snoopy award]] (2016)|[[NASA Group Achievement Award]] (2016)|[[Congressional Gold Medal]] (2019)}},,[[West Virginia State University]] ([[Bachelor of Science|BS]]),{{hlist|[[National Advisory Committee for Aeronautics|NACA]]|[[NASA]] (1953–1986)}},,,{{unbulleted list|{{marriage|James Goble|1939|1956|end=died}}|{{marriage|Jim Johnson|1959|2019|end=died}}}},3,,,
Grace Hopper,{{birth date|1906|12|9}},"[[New York City]], [[New York (state)|New York]], U.S.",{{death date and age|1992|1|1|1906|12|9}},"[[Arlington County, Virginia]], U.S.",,,,{{plainlist| * [[FLOW-MATIC]] * [[COBOL]]}}}} }},{{plainlist| * [[Defense Distinguished Service Medal]] * [[Legion of Merit]] * [[Meritorious Service Medal (USA)|Meritorious Service Medal]] * [[American Campaign Medal]] * [[World War II Victory Medal]] * [[National Defense Service Medal]] * [[Armed Forces Reserve Medal]] with two [[Hourglass Device]]s * [[Naval Reserve Medal]] * [[Presidential Medal of Freedom]] (posthumous)}},,"[[Vassar College]] ([[Bachelor of Arts|BA]])<br>[[Yale University]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,{{marriage|Vincent Hopper|1930|1945|end=div}},,,,
