name,birth_date,birth_place,death_date,death_place,nationality,occupation,years_active,known_for,awards,alma_mater,education,employer,notable_works,field,spouse,children,parents,religion,genre
Carmen Silva,"April 5, 1916","[[Pelotas]], [[Rio Grande do Sul]], Brazil",{{death date and age|2008|4|21|1916|4|5|mf=y}},"[[Porto Alegre]], Rio Grande do Sul, Brazil",,[[Actress]] }},,,,,,,,,,,,,
Nadia Khan,{{birth-date and age|22 May 1979}},"[[Quetta]], Pakistan",,,,"TV presenter, actor, producer",1993–present }},,,,,,,,{{marriage|Khawar Iqbal|1990s}} (divorced)<br>{{marriage|Faisal Mumtaz Rao|2020}},3,,,
Omar Aziz,"November 9, 1958","[[Garça]], [[São Paulo (state)|São Paulo]], Brazil",,,,,,,,,,,,,,,,,
Ursula Klein,"1952<ref name=""LOC"">{{cite web|title=Klein, Ursula, 1952-|url=https://lccn.loc.gov/no95021278|website=LOC Authority Records|access-date=3 October 2016}}</ref>",,,,,,,[[Paper tools]],"[[HIST Award]], 2016 }}","[[University of Konstanz]], [[Free University of Berlin]]",,,,"History of science, philosophy of science, semiotics",,,,,
Victor Hugo,,,,,,,1829–1883,,,,,,,,,,,,{{cslist|Novel|poetry|theatre}}
Xavier Chen,{{Birth date and age|df=yes|1983|10|5}},"[[Berchem-Sainte-Agathe]], [[Brussels]], Belgium",,,,,,,,,,,,,,,,,
Yasmin Ali<br />{{lang|ar|ياسمين علي}},{{Birth date and age|df=y|1990|1|13}},,,,,,–present,,,,,,,,,,,,[[Arabic music]]
Beatriz Costa,{{birth date|df=yes|1907|12|14}},"[[Mafra, Portugal|Mafra]], Portugal",{{death date and age|df=yes|1996|04|15|1907|12|14}},"Lisbon, Portugal",,[[actor|actress]],,,,,,,,,,,,,
Ismail Khan,{{birth year and age|1946}},"[[Shindand District|Shindand]], [[Herat Province]], [[Kingdom of Afghanistan]]",,,,"Politician, former [[Afghan mujahideen|Mujahideen]] leader",,,,,,,,,,,,,
Omar Farouk,{{Birth based on age at death|71|2011|03|08}},"{{lang|so|Qooxle}} or {{lang|so|Carmaale}}, [[Kebri Dahar]], [[Somali Region]]",{{Death date|2011|03|08}},[[Mecca]] Saudi Arabia,[[Somali nationality law|Somali]],,,,,,,,,,,,,[[Islam]],
Valentin Popov,{{Birth date and age|df=y|1979|11|8}},"[[Pleven]], Bulgaria",,,Bulgarian,[[Writer]],1996 – }},,,[[Sofia University]],,,,,,,,,
Cecilia Vega,{{birth date and age|1977|01|07}},,,,,{{Flatlist| * News correspondent for ''[[60 Minutes]]'' }},,,,[[American University]],,,,,,,,,
Olivia Brown,{{Birth based on age as of date|33|1990|07|15}},"[[Frankfurt]], [[West Germany]]",,,,Actress,1979–present,,,,,,,,{{plainlist| * {{marriage|[[Mykelti Williamson]]|1983|1985|end=div}} * James Okonkwo }},,,,
Pavel Novák,{{birth date and age|2004|12|3|df=yes}},"[[Jindřichův Hradec]], Czech Republic",,,,,,,,,,,,,,,,,
Tatiana Petrova,{{Birth date and age|1973|5|22|df=y}},"[[Chelyabinsk]], Soviet Union",,,,,,,,,,,,,,,,,
Zainab Ahmed,{{Birth date and age|1960|06|16|df=y}},,,,,,,,,{{plainlist| * [[Ahmadu Bello University]] * [[Olabisi Onabanjo University]] }},,,,,,,,,
Eva Novak,{{birth date|1898|02|14}},"[[St. Louis, Missouri]], U.S.",{{death date and age|1988|04|17|1898|02|14}},"[[Woodland Hills, Los Angeles]], U.S.",,Actress,,,,,,,,,{{marriage|William Reed|1921}},2 }},,,
Jasmine Zhang,{{birth date and age |mf=yes|1978|3|13}},"[[Lan Zhou]], China",,,,,,,,[[University of Southern California]],M.S. (2011),,,,,,,,
Matteo Bianchi,{{Birth date and age|df=yes|21 October 2001}},"[[Bozen]], [[Italy]]<ref name=BIO/>",,,,,,,,,,,,,,,,,
Óscar Núñez,{{Birth date and age|1958|11|18}},"[[Colón, Cuba|Colón]], Matanzas, [[Republic of Cuba (1902–1959)|Cuba]]",,,,{{csv|Actor|comedian}},2000–present,,,,,,,,Ursula Whittaker,1 }},,,
Sara Johansson,{{birth date and age|df=yes|1980|1|23}},"[[Karlshamn]], [[Sweden]]",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ursula Klein,"1952<ref name=""LOC"">{{cite web|title=Klein, Ursula, 1952-|url=https://lccn.loc.gov/no95021278|website=LOC Authority Records|access-date=3 October 2016}}</ref>",,,,,,,[[Paper tools]],"[[HIST Award]], 2016 }}","[[University of Konstanz]], [[Free University of Berlin]]",,,,"History of science, philosophy of science, semiotics",,,,,
Walter Johnson,{{Birth date|1887|11|6}},"[[Humboldt, Kansas]], U.S.",{{death date and age|1946|12|10|1887|11|6}},"[[Washington, D.C.]], U.S.",,,,,,,,,,,,,,,
Xia Li,{{Birth date and age|df=yes|1988|7|28}},"[[Chongqing]], [[Sichuan]], [[China]]<ref name=""wwe.com"">{{cite web|url=https://www.wwe.com/superstars/xia-li|title=Xia Li|website=WWE|access-date=March 19, 2019|archive-url=https://web.archive.org/web/20240421213709/https://www.wwe.com/superstars/xia-li|archive-date=April 21, 2024|url-status=live}}</ref>",,,,,,,,,,,,,,,,,
Zoe Smith,{{birth date and age|df=yes|1994|4|26}},"[[Greenwich]], London, England<ref name=""te""/>",,,,,,,,,,,,,,,,,
Alex Johnson,{{Birth date|1942|12|7}},"[[Helena, Arkansas]], U.S.",{{Death date and age|2015|2|28|1942|12|7}},"[[Detroit]], [[Michigan]], U.S.",,,,,,,,,,,,,,,
Dana Davis,<!-- Valid citation required for date of birth for BLP. (WP:BLPPRIVACY) -->,"[[Davenport, Iowa]], U.S.",,,,{{flatlist| *Actress *voice actress *novelist }},,,,[[Loyola Marymount University]],,,,,,,,,
Hannah Brown,{{birth date and age|mf=yes|1994|09|24}},"[[Tuscaloosa, Alabama]], U.S.",,,,TV personality,,,,[[University of Alabama]],,,,,{{Marriage|Adam Woolard|2025}},,,,
Julia Wilson,{{birth date and age|1978|09|23|df=y}},,<!-- {{death-date and age|23 August 1981|1 October 1949}} -->,,,,1998-2006,,,,,,,,,,,,
Rachel Evans,,,,,,,,,[[Marie Curie Fellows Association|Marie Curie Fellowship]]<br>Dillwyn Medal (2017),"[[Swansea University]] (MChem, PhD)",,,,,,,,,
Yvonne Carter,{{birth date|1959|04|16|df=y}},,{{death date and age|2009|10|20|1959|04|16|df=y}},,,Dean of [[Warwick Medical School]],,,,"[[St Mary's Hospital Medical School]], London",,,,,Dr. Michael Bannon (1988–2009; her death); 1 son }},,,,
Calvin Hill,{{Birth date and age|1947|01|02}},"[[Baltimore, Maryland]], U.S.",<!--{{death date and age|20YY|MM|DD|1947|1|2}}-->,,,,,,,,,,,,,,,,
Kyle Hudson,{{Birth date and age|1987|1|7}},"[[Mattoon, Illinois]], U.S.",,,,,,,,,,,,,,,,,
Lilian Parker,1874,"[[Bolton]], England",{{death year and age|1947|1874}},"[[Weston-Super-Mare]], England",British,,,"Painting, sculpture",,[[Royal College of Art]],,,,,,,,,
Marcus King,{{birth date and age|1996|03|11}},"[[Greenville, South Carolina]], U.S.",,,,,2013–present,,,,,,,,Briley Hussey (m. 2023),,,,{{Flatlist| *[[Blues]] *[[Southern rock]] *[[Soul music|soul]]}}
