,Unnamed: 0,name,birth_date,birth_place,death_date,death_place,occupation,awards,alma_mater,education,spouse,children,occupation_cluster,birth_year,death_year,life_span,life_span_cluster,edu_award_cluster,bio_cluster
0,0,Isaac Newton,{{Birth date|df=y|1643|01|04}},"{{nowrap|[[Woolsthorpe-by-Colsterworth]],}} Lincolnshire, England",{{Death date and age|df=y|1727|03|31|1643|01|04}},"[[Kensington]], Middlesex, England",Composer,"{{unbulleted list | [[Fellow of the Royal Society|FRS]]&nbsp;(1672)<ref name=""frs"">{{cite web |title=Fellows of the Royal Society |url=https://royalsociety.org/about-us/fellowship/fellows |archive-url=https://web.archive.org/web/20150316060617/https://royalsociety.org/about-us/fellowship/fellows |archive-date=16 March 2015 |publisher=Royal Society |location=London}}</ref> | [[Knight Bachelor]]&nbsp;(1705)}}",[[King's College London]],"[[Trinity College, Cambridge]] ([[Bachelor of Arts|BA]], 1665; [[Master of Arts|MA]], 1668)<ref>Kevin C. Knox, Richard Noakes (eds.), ''From Newton to Hawking: A History of Cambridge University's Lucasian Professors of Mathematics'', Cambridge University Press, 2003, p.&nbsp;61.</ref>",{{plainlist|,2,0,1643.0,1727.0,84.0,2.0,3,1
1,1,Marie Curie,{{birth date|df=y|1867|11|7}},"[[Warsaw]], [[Congress Poland|Poland]], Russian Empire",{{death date and age|df=y|1934|7|4|1867|11|7}},"[[Passy, Haute-Savoie|Passy]], [[Rhône-Alpes]], France",Composer,}},[[University of Paris]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1867.0,1934.0,67.0,2.0,1,0
2,2,Albert Einstein,{{Birth date|df=yes|1879|3|14}},"[[Ulm]], [[Kingdom of Württemberg]], Germany<ref group=note name=GEcitizen/>",{{Death date and age|df=yes|1955|4|18|1879|3|14}},"[[Princeton, New Jersey]], U.S.",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,{{flatlist|,0,1879.0,1955.0,76.0,2.0,1,0
3,3,The Countess of Lovelace,{{birth date|df=y|1815|12|10}},"London, England",{{death date and age|df=y|1852|11|27|1815|12|10}},"[[Marylebone]], London, England",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />","{{marriage|[[William King-Noel, 1st Earl of Lovelace]]|1835}}",{{plainlist|,0,1815.0,1852.0,37.0,2.0,1,0
4,4,Leonardo da Vinci,{{birth date|df=yes|1452|04|15}},"possibly [[Anchiano]],{{efn|name=Birthplace}} [[Vinci, Tuscany|Vinci]], {{awrap|[[Republic of Florence]]}}",{{death date and age|df=yes|1519|5|2|1452|4|15}},"[[Clos Lucé]], [[Amboise]], {{awrap|[[Kingdom of France]]}}",Composer,}},[[King's College London]],Studio of [[Andrea del Verrocchio]],{{plainlist|,2,0,1452.0,1519.0,67.0,5.0,3,3
5,5,Galileo Galilei,{{birth date|1564|02|15|df=y}}{{sfn|Drake|1978|p=1}},"[[Pisa]], Duchy of Florence",{{death date and age|1642|01|08|1564|02|15|df=y}},"[[Arcetri]], Grand Duchy of Tuscany",Composer,}},[[King's College London]],"[[University of Pisa]] <!-- This field is for the university name. Please do not put a degree here,  -->",{{plainlist|,2,0,1564.0,1642.0,78.0,5.0,3,3
6,6,Nikola Tesla,{{birth date|1856|7|10|df=y}},"[[Smiljan, Croatia|Smiljan]], [[Austrian Empire]] <br /> (now in [[Croatia]])<!-- There is consensus against adding [[Croatian Military Frontier]] here -->",{{death date and age|1943|1|7|1856|7|10|df=y}},"[[New York City]], U.S.",{{hlist|Engineer|[[futurist]]|inventor}},{{ubil,[[Graz University of Technology]] (dropped out),"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,3,1856.0,1943.0,87.0,2.0,1,2
7,7,Charles Darwin,{{birth date|df=y|1809|2|12}},"[[Shrewsbury]], Shropshire, England",{{death date and age|1882|df=y|4|19|1809|2|12}},"[[Down House]], Down, Kent, England<!--Letter no. 3368 footnote; ""spelling of the village name was variable. 'Down' was the commonest form up to the 1870s, and 'Downe' thereafter"", and it was in Kent until 1965, (now in [[Greater London]])-->",Composer,}},[[King's College London]],{{ubli|,{{plainlist|,2,0,1809.0,1882.0,73.0,2.0,3,1
8,8,Thomas Edison,{{Birth date|1847|2|11}},"[[Milan, Ohio]], U.S.",{{Death date and age|1931|10|18|1847|2|11}},"[[West Orange, New Jersey]], U.S.",{{hlist|Inventor|businessman}},{{collapsible list,[[King's College London]],Self-educated; some coursework at [[Cooper Union]],{{ublist,"6, including [[Madeleine Edison|Madeleine]], [[Charles Edison|Charles]], and [[Theodore Miller Edison|Theodore]]",3,1847.0,1931.0,84.0,2.0,3,2
9,9,Aristotle,{{Birth date and age|1984|10|18}},"Paris, France",<!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (death date then birth date) -->,"Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
10,10,Plato,428/427 or 424/423 BC,[[Classical Athens|Athens]],348/347 BC (aged 75-80),Athens,Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1875.9082901554405,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
11,11,Socrates,{{circa|470}} BC <!--PLEASE SEE TALK ARCHIVE #! BEFORE CHANGING DATE-->,"[[Deme]] [[Alopece]], [[Classical Athens|Athens]]",399 BC (aged {{approx.|71}}) <!--PLEASE SEE TALK ARCHIVE #! BEFORE CHANGING DATE-->,Athens,Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />","[[Xanthippe]], [[Myrto]] (disputed)",2,0,1875.9082901554405,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
12,12,Johannes Kepler,{{birth date|df=y|1571|12|27}},"[[Weil der Stadt|Free Imperial City of Weil der Stadt]], Holy Roman Empire",{{Death date and age|df=yes|1630|11|15|1571|12|27}},"[[Regensburg|Free Imperial City of Regensburg]], Holy Roman Empire",Composer,}},[[King's College London]],"[[Tübinger Stift]], [[University of Tübingen]] ([[Master of Arts|MA]])<ref>{{cite SEP |last=Liscia |first=Daniel A. Di |title=Johannes Kepler |url-id=kepler}}</ref>",{{plainlist|,2,0,1571.0,1630.0,59.0,5.0,3,3
13,13,Alan Turing,{{Birth date|df=y|1912|6|23}},"[[Maida Vale]], London, England",{{Death date and age|df=y|1954|6|7|1912|6|23}},"{{Nowrap|[[Wilmslow]], Cheshire, England}}",Composer,}},{{Indented plainlist|,"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1912.0,1954.0,42.0,2.0,1,0
14,14,Stephen Hawking,{{Birth date|df=y|1942|01|08}},"[[Oxford]], England",{{Death date and age|df=y|2018|03|14|1942|01|08}},"[[Cambridge]], England",Composer,{{clist,[[King's College London]],{{ubl,{{ubl,"3, including [[Lucy Hawking|Lucy]]",0,1942.0,2018.0,76.0,2.0,3,1
15,15,Carl Sagan,{{Birth date|1934|11|9}},"New York City, U.S.",{{Death date and age|1996|12|20|1934|11|9}},"[[Seattle]], Washington, U.S.",Composer,}},[[King's College London]],"[[University of Chicago]] ([[Bachelor of Arts|BA]], [[Bachelor of Science|BS]], [[Master of Science|MS]], [[PhD]])",{{plainlist|,2,0,1934.0,1996.0,62.0,2.0,4,1
16,16,Benjamin Franklin,"{{OldStyleDateDY|January 17,|1706|January 6}}{{refn|group=Note|name=birthdate}}","[[Boston]], [[Province of Massachusetts Bay]], [[British America]]",{{death date and age|1790|4|17|1706|1|17}},"[[Philadelphia]], Pennsylvania, U.S.",Composer,}},[[King's College London]],[[Boston Latin School]],"{{marriage|[[Deborah Read]]|September 1, 1730|1774|reason=died}}",{{hlist|[[William Franklin|William]]|[[Francis Folger Franklin|Francis]]|[[Sarah Franklin Bache|Sarah]]}},0,1706.0,1790.0,84.0,2.0,0,0
17,17,James Clerk Maxwell,{{birth date|df=yes|1831|6|13}},"[[Edinburgh]], Scotland",{{death date and age|df=yes|1879|11|5|1831|6|13}},"[[Cambridge]], England",Composer,{{ubl|[[Smith's Prize]] (1854) |[[Adams Prize]] (1857) |[[Rumford Medal]] (1860)|[[Fellow of the Royal Society|FRS]] (1861)|[[Royal Society Bakerian Medal|Bakerian Medal]] (1866)|[[Keith Medal]] (1869–1871)}},"{{ubl|[[University of Edinburgh]]|[[Peterhouse, Cambridge]]|[[Trinity College, Cambridge]]}}","[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{marriage|[[Katherine Clerk Maxwell|Katherine Dewar]]|1858}},2,0,1831.0,1879.0,48.0,2.0,2,0
18,18,Dmitri Mendeleev,{{birth date|df=y|1834|2|8}},"Verkhnie Aremzyani, Russia",{{death date and age|df=y|1907|2|2|1834|2|8}},"Saint Petersburg, Russia",Composer,{{ubl|[[Davy Medal]] (1882)|[[Faraday Lectureship Prize]] (1889)|[[Fellow of the Royal Society#Foreign member|ForMemRS]]<ref name=formemrs /> (1892)|[[Copley Medal]] (1905)}},[[Saint Petersburg Imperial University]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1834.0,1907.0,73.0,2.0,2,0
19,19,Gregor Mendel,{{birth date|df=yes|1822|7|20}},"[[Heinzendorf bei Odrau]], [[Austrian Silesia|Silesia]], [[Austrian Empire]]",{{death date and age|df=yes|1884|1|6|1822|7|20}},"[[Brno]], [[Margraviate of Moravia|Moravia]], [[Austria-Hungary]]",Composer,}},[[King's College London]],[[University of Olmütz]]<br />[[University of Vienna]],{{plainlist|,2,0,1822.0,1884.0,62.0,2.0,4,1
20,20,Louis Pasteur,{{birth date|1822|12|27|df=y}},"[[Dole, Jura|Dole]], France",{{death date and age|1895|9|28|1822|12|27|df=y}},"[[Marnes-la-Coquette]], France",Composer,}},[[King's College London]],{{ublist|[[École normale supérieure]]|[[University of Paris]]|[[Conservatoire national des arts et métiers]]}},{{marriage|[[Marie Laurent]]|1849}},5,0,1822.0,1895.0,73.0,2.0,3,1
21,21,Sir Alexander Fleming,{{birth date|1881|8|6|df=y}},"[[Darvel]], Ayrshire, Scotland",{{Death date and age|1955|3|11|1881|8|6|df=y}},"London, England",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1881.0,1955.0,74.0,2.0,1,0
22,22,Michael Faraday,{{Birth date|1791|09|22|df=yes}},"[[Newington Butts]], [[Surrey]], England",{{Death date and age|1867|08|25|1791|09|22|df=yes}},"[[Hampton, London|Hampton]], [[Middlesex]], England",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1791.0,1867.0,76.0,2.0,1,0
23,23,Johann Wolfgang von Goethe,{{birth date|1749|8|28|df=y}},"[[Free Imperial City of Frankfurt|Frankfurt]], Holy Roman Empire",{{death date and age|1832|3|22|1749|8|28|df=y}},"[[Weimar]], Saxe-Weimar-Eisenach",Composer,}},[[University of Strasbourg]] ([[Licentiate (degree)|Lic.]]),[[Leipzig University]],{{marriage|[[Christiane Vulpius]]|1806|1816|end=died}},"5, including [[August von Goethe|August]]",0,1749.0,1832.0,83.0,2.0,3,1
24,24,Sigmund Freud,{{birth date|1856|5|6|df=y}},"[[Freiberg in Mähren]], Austrian Empire",{{death date and age|1939|9|23|1856|5|6|df=y}},"[[Hampstead]], London, England",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1856.0,1939.0,83.0,2.0,1,0
25,25,Max Planck,{{Birth date|1858|04|23|df=yes}},"[[Kiel]], [[Duchy of Holstein]], [[German Confederation]]",{{Death date and age|1947|10|04|1858|04|23|df=yes}},"[[Göttingen]], [[British occupation zone in Germany|British zone]], [[Allied-occupied Germany]]",Composer,}},{{Plain list|,"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1858.0,1947.0,89.0,2.0,1,0
26,26,Niels Bohr,{{Birth date|1885|10|07|df=yes}},"[[Copenhagen]], Denmark",{{Death date and age|1962|11|18|1885|10|07|df=yes}},"Copenhagen, Denmark",Composer,}},[[University of Copenhagen]] ([[Doctor of Philosophy|PhD]]),"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1885.0,1962.0,77.0,2.0,1,0
27,27,Rosalind Franklin,{{birth date|1920|7|25|df=yes}},"[[Notting Hill]], London, England",{{death date and age|1958|4|16|1920|7|25|df=y}},"[[Chelsea, London|Chelsea]], London, England",Composer,}},[[King's College London]],"[[Newnham College, Cambridge]]<br />[[University of Cambridge]] ([[PhD]])",{{plainlist|,2,0,1920.0,1958.0,38.0,2.0,3,1
28,28,Rachel Carson,{{birth date|1907|05|27|mf=y}},"[[Springdale, Pennsylvania]], U.S.",{{death date and age|1964|04|14|1907|05|27|mf=y}},"[[Silver Spring, Maryland]], U.S.<ref name=""lkwdpl"" />","[[Marine biologist]], author and environmentalist",}},[[Chatham University]] ([[Bachelor of Arts|BA]])<br />[[Johns Hopkins University]] ([[Master of Science|MS]]),"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,3,1907.0,1964.0,57.0,2.0,1,2
29,29,Marie Stopes,{{birth date|1880|10|15|df=y}},"{{Nowrap|[[Edinburgh]], Scotland}}",{{death date and age|1958|10|2|1880|10|15|df=y}},"[[Dorking]], Surrey, England",Composer,}},[[King's College London]],{{Plainlist|,{{Plainlist|,2,0,1880.0,1958.0,78.0,2.0,3,1
30,30,Hypatia,{{circa}} 350–370 AD,"[[Alexandria]], Province of Egypt, Eastern Roman Empire","March 415 AD (aged 45–65)<ref name=""MacTutorMath""/>","Alexandria, Province of Egypt, Eastern Roman Empire",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1875.9082901554405,1860.5845620121422,60.200710479573715,2.378330373001776,1,0
31,31,Emmy Noether,{{birth date|1882|03|23|df=y}},"[[Erlangen]], Kingdom of Bavaria, German Empire",{{death date and age|1935|04|14|1882|03|23|df=y}},"[[Bryn Mawr, Pennsylvania]], US",Composer,}},[[University of Erlangen–Nuremberg]] ([[PhD]])<br>[[University of Göttingen]] ([[Habilitation|Hab.]]),"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1882.0,1935.0,53.0,2.0,1,0
32,32,Grace Hopper,{{birth date|1906|12|9}},"[[New York City]], [[New York (state)|New York]], U.S.",{{death date and age|1992|1|1|1906|12|9}},"[[Arlington County, Virginia]], U.S.",Composer,{{plainlist|,[[King's College London]],"[[Vassar College]] ([[Bachelor of Arts|BA]])<br>[[Yale University]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",{{marriage|Vincent Hopper|1930|1945|end=div}},2,0,1906.0,1992.0,86.0,2.0,4,1
33,33,Chien-Shiung Wu,{{birth date|1912|5|31|mf=yes}},"[[Liuhe, Taicang]], [[Jiangsu]], China",{{Death date and age|1997|2|16|1912|5|31|mf=yes}},"[[New York City]], U.S.",Composer,{{plainlist|,[[King's College London]],"{{ublist | [[National Central University]] ([[Bachelor of Science|BS]])| [[University of California, Berkeley]] ([[PhD]])}}",{{marriage|[[Luke Chia-Liu Yuan]]|1942}},Vincent Yuan ({{lang-zh|t=袁緯承|labels=no}}),0,1912.0,1997.0,85.0,2.0,4,1
34,34,Lise Meitner,{{Birth date|1878|11|07|df=yes}},"[[Vienna]], Austria-Hungary",{{Death date and age|1968|10|27|1878|11|07|df=yes}},"[[Cambridge]], England",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1878.0,1968.0,90.0,2.0,1,0
35,35,Jane Goodall,{{Birth date|1934|4|3|df=y}},"London, England",{{Death date and age|2025|10|1|1934|4|3|df=y}},"Los Angeles, California,<!--Links not needed per MOS:OVERLINK--> US",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1934.0,2025.0,91.0,2.0,1,0
36,36,Margaret Mead,{{Birth date|1901|12|16}},"[[Philadelphia]], [[Pennsylvania]], U.S.",{{Death date and age|1978|11|15|1901|12|16}},"New York City, U.S.",[[Anthropologist]],{{Plainlist |,[[King's College London]],{{Plainlist|,{{Plainlist|,[[Mary Catherine Bateson]],3,1901.0,1978.0,77.0,2.0,3,2
37,37,Carl Linnaeus,"{{Birth date|df=yes|1707|5|23}}<ref group=note name=birthdate>Carl Linnaeus was born in 1707 on 13 May ([[Swedish calendar]]) or 23 May according to the [[Gregorian calendar]]. According to the [[Julian calendar]] he was born on 12 May. (Blunt 2004, p. 12)</ref>","[[Råshult]], Sweden",{{Death date and age|df=yes|1778|1|10|1707|5|23}},"[[Linnaeus' Hammarby|Hammarby]], Sweden",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{marriage|[[Sara Elisabeth Moræa]]|1739}},7,0,1707.0,1778.0,71.0,2.0,1,0
38,38,Alfred Nobel,{{Birth date|1833|10|21|df=yes}},"[[Stockholm]], Sweden",{{Death date and age|1896|12|10|1833|10|21|df=yes}},"[[Sanremo]], Italy",{{hlist|Chemist|Engineer|Inventor|Businessman}},}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,3,1833.0,1896.0,63.0,2.0,1,2
39,39,Andrei Sakharov,{{birth date|1921|5|21|df=yes}},"Moscow, Russian SFSR",{{death date and age|1989|12|14|1921|5|21|df=yes}},"Moscow, Soviet Union",Composer,}},{{unbulleted list |[[Moscow State University]] |[[Lebedev Physical Institute]]}},"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{ubl|Klavdia Vikhireva (1943–1969; her death)|[[Yelena Bonner]] (1972–1989; his death)}},2,0,1921.0,1989.0,68.0,2.0,1,0
40,40,Richard Feynman,{{birth date|1918|5|11|mf=y}},"New York City,<!--Links not needed per MOS:OVERLINK--> U.S.",{{death date and age|1988|2|15|1918|5|11|mf=y}},"Los Angeles, California,<!--Links not needed per MOS:OVERLINK--> U.S.",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1918.0,1988.0,70.0,2.0,1,0
41,41,Werner Heisenberg,{{birth date|df=y|1901|12|5}},"[[Würzburg]], [[Kingdom of Bavaria]], [[German Empire]]",{{death date and age|df=y|1976|2|1|1901|12|5}},"[[Munich]], [[Bavaria]], [[West Germany]]",Composer,}},[[University of Munich]]<br>[[University of Göttingen]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1901.0,1976.0,75.0,2.0,1,0
42,42,Erwin Schrödinger,{{Birth date|1887|8|12|df=yes}},"[[Vienna]], [[Austria-Hungary]]",{{Death date and age|1961|01|04|1887|08|12|df=yes}},"Vienna, Austria",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1887.0,1961.0,74.0,2.0,1,0
43,43,Niels Henrik Abel,{{birth date|1802|8|5|df=y}},"[[Nedstrand]], Denmark–Norway",{{death date and age|1829|4|6|1802|8|5|df=y}},"[[Froland]], Norway",Composer,}},"[[University of Oslo|Royal Frederick University]] (BA, 1822)","[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1802.0,1829.0,27.0,2.0,1,0
44,44,Kurt Gödel,{{birth date|1906|4|28}},"[[Brünn]], Austria-Hungary (now Brno, Czech Republic)",{{death date and age|1978|1|14|1906|4|28}},"[[Princeton, New Jersey]], U.S.",Composer,}},[[King's College London]],"[[University of Vienna]] ([[Dr. Phil.]], 1930)",{{plainlist|,2,0,1906.0,1978.0,72.0,2.0,3,1
45,45,John von Neumann,{{birth date|mf=yes|1903|12|28}},"[[Budapest]], Kingdom of Hungary, Austria-Hungary",{{death date and age|mf=yes|1957|2|8|1903|12|28}},"[[Washington, D.C.]], U.S.",Composer,}},{{ubl|[[Eötvös Loránd University|Pázmány Péter University]]|[[Humboldt University of Berlin|University of Berlin]]|[[ETH Zurich|ETH Zürich]]}},"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1903.0,1957.0,54.0,2.0,1,0
46,46,Florence Nightingale,{{birth date|1820|5|12|df=y}},"[[Florence]], [[Grand Duchy of Tuscany]]",{{death date and age|1910|8|13|1820|5|12|df=y}},"[[Mayfair]], London, England",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1820.0,1910.0,90.0,2.0,1,0
47,47,Mary Anning,{{birth date|1799|05|21|df=yes}},"[[Lyme Regis]], Dorset, England",{{death date and age|1847|03|09|1799|05|21|df=yes}},Lyme Regis,{{hlist|[[Fossil collector]]|[[palaeontologist]]}},}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,3,1799.0,1847.0,48.0,2.0,1,2
48,48,Catherine the Great,{{Birth date|df=y|1729|05|02}},"[[Stettin]], Prussia",{{Death date and age|df=y|1796|11|17|1729|05|02}},"[[Winter Palace]], Saint Petersburg, Russia",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{marriage|[[Peter III of Russia]]|21 August 1745|17 July 1762|end=died}},2,0,1729.0,1796.0,67.0,2.0,1,0
49,49,Cleopatra,Early 69&nbsp;BC or late 70&nbsp;BC,"[[Alexandria]], Ptolemaic Kingdom","10 or 12 August 30&nbsp;BC (aged&nbsp;39)<ref group=""note"" name=""date of Cleopatra's death"">Cleopatra almost certainly died on the 17th day of the Egyptian month [[Mesore]], which corresponds to 10 August in the older [[Roman calendar]], and 12 August in the [[Julian calendar]]. See {{harvtxt|Skeat|1953|pp=98–100}}.</ref>","Alexandria, Ptolemaic Kingdom",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,{{unbulleted list|[[Caesarion]]|[[Alexander Helios]]|[[Cleopatra Selene II]]|[[Ptolemy Philadelphus (son of Cleopatra)|Ptolemy Philadelphus]]}},0,1875.9082901554405,1953.0,60.200710479573715,2.378330373001776,1,0
50,50,Victoria,{{Birth date|1819|05|24|df=y}},"[[Kensington Palace]], London, England",{{Death date and age|1901|01|22|1819|05|24|df=yes}},"[[Osborne House]], [[Isle of Wight]], England",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{Marriage|[[Prince Albert of Saxe-Coburg and Gotha]]|10 February 1840|14 December 1861|reason=died}},2,0,1819.0,1901.0,82.0,2.0,1,0
51,51,Joan of Arc,{{circa|1412}},"[[Domrémy-la-Pucelle|Domrémy]], Duchy of Bar, Kingdom of France",30 May 1431 (aged {{Approx.|19}}),"[[Rouen]], Anglo-French Kingdom",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1412.0,1431.0,19.0,5.0,1,3
52,52,Elizabeth I,7 September 1533,"[[Palace of Placentia]], Greenwich, England",24 March 1603 (aged 69),"[[Richmond Palace]], Surrey, England",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1533.0,1603.0,70.0,5.0,1,3
53,53,Marie Antoinette,{{birth date|df=yes|1755|11|2}},"[[Hofburg]], Vienna, Austria",{{death date and age|df=yes|1793|10|16|1755|11|2}},"[[Place de la Révolution]], Paris, France",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{Marriage|[[Louis XVI]]|19 April 1770|21 January 1793|end=d}},2,0,1755.0,1793.0,38.0,2.0,1,0
54,54,Simone de Beauvoir,{{Birth date|1908|1|9|df=yes}},"Paris, France",{{Death date and age|1986|4|14|1908|1|9|df=yes}},"Paris, France",Composer,}},[[King's College London]],{{plainlist|,{{plainlist|,2,0,1908.0,1986.0,78.0,2.0,3,1
55,55,Virginia Woolf,{{birth date|df=y|1882|1|25}},"[[South Kensington]], London, England",{{death date and age|df=y|1941|3|28|1882|1|25}},"[[River Ouse, Sussex|River Ouse]], East Sussex, England",{{hlist|Novelist|essayist|publisher|critic}},}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{marriage|[[Leonard Woolf]]|10 August 1912}},2,3,1882.0,1941.0,59.0,2.0,1,2
56,56,Frida Kahlo,{{Birth date and age|1984|10|18}},"[[Coyoacán]], Mexico",{{Death date and age|df=yes|1954|7|13|1907|7|6}},"Mexico City, Mexico",Composer,}},[[King's College London]],"[[Visva-Bharati University]] (dropped out)<ref name=""degree"" /> <br /> [[Somerville College, Oxford]] (dropped out)<ref name=""degree"" />",{{plainlist|,2,0,1984.0,1954.0,-30.0,2.0,1,0
